r,deflection
0,0.0
1,1.8465643369998266
2,3.7064490244084225
3,5.579566195446236
4,7.465828806088826
5,10.297331627674032
6,14.676807715444562
7,19.12929470419805
8,23.65124322919318
9,28.23908926624601
10,32.88928361652443
11,37.598319071497706
12,42.36275488948071
13,47.1792383320145
14,52.04452312116013
15,56.955484782466236
16,61.909132929178234
17,66.90262061880031
18,71.93325097240127
19,76.99848129016867
20,82.09592492467327
21,87.22335118774576
22,92.37868356978413
23,97.55999654391965
24,102.76551121390227
25,107.9935900458612
26,113.24273090208206
27,118.5115605710874
28,123.79882796393606
29,129.10339712266276
30,134.4242401639195
31,139.76043025964677
32,145.11113473724524
33,150.47560836447363
34,155.85318686911512
35,161.24328073035818
36,166.6453692676668
37,172.0589950435385
38,177.48375858881587
39,182.9193134529141
40,188.36536157629226
41,193.82164897857297
42,199.2879617527016
43,204.76412235333487
44,210.24998616609142
45,215.74543834326613
46,221.25039089105925
47,226.76477999311567
48,232.2885635552208
49,237.82171895630503
50,243.36424099125333
51,248.91613999162496
52,254.4774401110016
53,260.0481777623012
54,265.6284001951975
55,271.21816420243
56,276.81753494451283
57,282.4265848831363
58,288.04539281411905
59,293.6740429915412
60,299.31262433525643
61,304.9612297145715
62,310.6199553015151
63,316.2888999875562
64,321.9681648582079
65,327.6578527203275
66,333.3580676774606
67,339.06891474887544
68,344.7904995283433
69,350.52292787906094
70,356.2663056613744
71,362.0207384904378
72,367.7863315207773
73,373.56318925562664
74,379.3514153783005
75,385.1511126040215
76,390.96238254980227
77,396.7853256211156
78,402.6200409132653
79,408.4666261266273
80,414.32517749388796
81,420.1957897184492
82,426.0785559227875
83,431.9735676057882
84,437.88091460815576
85,443.80068508513915
86,449.7329654858431
87,455.6778405382098
88,461.6353932395455
89,467.6057048515722
90,473.5888548995433
91,479.5849211754962
92,485.593979744431
93,491.6161049536887
94,497.65136944481026
95,503.6998441677731
96,509.7615983971524
97,515.836699750141
98,521.9252142060178
99,528.0272061270591
100,534.1427382804436
