parameter,radius,thickness,pressure,all,all_const_mass
0,0,0,0,0,0
1,2.00515576956873,0.999999999999938,1.33722498494728,1.34339187340439,0.328879761016084
2,4.03007100318236,1.99999999999978,2.67888134660346,2.69127619922389,0.655540557364114
3,6.07474007215035,2.99999999999996,4.02494051520801,4.04362339761239,0.980018439889526
4,8.13915729640797,3.99999999999994,5.37537361544415,5.40040437154962,1.30234792360167
5,10.2233169446355,4.99999999999982,6.73015248264602,6.76159049477212,1.622563307982
6,12.3272132343696,5.99999999999981,8.08924961811902,8.12715359675429,1.94069730823289
7,14.4508403321263,6.99999999999981,9.45263777481127,9.49706594734915,2.25678249190846
8,16.5941923535146,8.00000000000005,10.8202901467065,10.8713002626704,2.57085012399745
9,18.7572633633586,8.99999999999977,12.1921801581321,12.249829673315,2.882931253555
10,20.9400473758165,10.0000000000001,13.5682819491446,13.6326277259392,3.19305548376546
11,23.1425383545017,10.9999999999997,14.9485698446182,15.0196683711059,3.50125227425121
12,25.3647302126041,11.9999999999999,16.3330186158164,16.4109259480901,3.80755009533187
13,27.6066168130138,12.9999999999999,17.7216038562494,17.8063751865427,4.11197668892684
14,29.8681919684452,13.9999999999999,19.1143005092054,19.2059911875103,4.41455944415123
15,32.1494494415592,14.9999999999997,20.5110847898402,20.6097494156853,4.71532476684684
16,34.4503829450908,16.0000000000002,21.9119329076966,22.0176257077857,5.01429866624585
17,36.7709861419743,16.9999999999999,23.3168214617425,23.4295962254509,5.31150658990088
18,39.1112526454697,17.9999999999999,24.7257272960672,24.8456374925172,5.60697321610661
19,41.4711760192922,18.9999999999997,26.1386274844939,26.2657263535559,5.90072284132063
20,43.8507497777394,19.9999999999999,27.555499941652,27.6898399888666,6.19277913483871
21,46.2499673858212,20.9999999999999,28.9763223350862,29.1179558891023,6.4831652181084
22,48.6688222593907,21.9999999999999,30.4010728072401,30.5500518635182,6.7719038650546
23,51.1073077652751,22.9999999999998,31.8297300325889,31.9861060197978,7.05901701606592
24,53.5654172214065,23.9999999999999,33.262272635375,33.426096770013,7.34452666051037
25,56.0431438969579,24.9999999999999,34.6986799836022,34.8700028146785,7.62845376984469
26,58.5404810124704,25.9999999999998,36.1389307847955,36.3178031404618,7.91081913195903
27,61.0574217399963,26.9999999999999,37.583005248501,37.7694770083416,8.19164327699697
28,63.5939592032261,27.9999999999997,39.0308831936475,39.2250039640919,8.47094592223793
29,66.1500864776299,28.9999999999998,40.4825439033748,40.6843638083635,8.74874656164224
30,68.7257965905909,29.9999999999999,41.9379692854018,42.147536612826,9.02506435079339
31,71.3210825215435,30.9999999999997,43.3971387946377,43.6145027135187,9.29991806323463
32,73.9359372021132,31.9999999999996,44.8600340385485,45.085242669042,9.5733258884033
33,76.5703535162532,32.9999999999999,46.3266351091927,46.5597373216486,9.84530585486629
34,79.2243243003861,33.9999999999996,47.7969247265598,48.0379677273552,10.1158755481321
35,81.8978423435416,35.0000000000002,49.2708838125296,49.5199151876676,10.3850521734002
36,84.5909003875001,35.9999999999997,50.7484941305129,51.0055612441877,10.6528526605032
37,87.3034911269359,36.9999999999996,52.2297381065324,52.4948876564815,10.9192936026412
38,90.0356072095533,38,53.7145977810835,53.9878764046898,11.1843912728045
39,92.7872412362377,38.9999999999999,55.2030556024629,55.4845096921706,11.4481616422478
40,95.5583857611949,40,56.6950946106011,56.9847699431821,11.7106201715106
41,98.349033292097,40.9999999999998,58.1906967063659,58.4886397903736,11.9717824733279
42,101.159176290228,42,59.6898462378181,59.9961020548569,12.2316633766594
43,103.98880717063,43,61.1925258033269,61.507139774708,12.4902777935899
44,106.837918302247,43.9999999999995,62.69871927327,63.021736197423,12.7476400993137
45,109.706502008078,44.9999999999995,64.2084106658773,64.5398747465787,13.0037646333606
46,112.594550565321,45.9999999999996,65.7215828118409,66.0615390465466,13.258665340058
47,115.502056205522,46.9999999999994,67.23821995587,67.586712899225,13.5123558689166
48,118.429011114725,47.9999999999996,68.7583075677011,69.1153803094837,13.7648497936041
49,121.375407433622,49,70.2818293798509,70.6475254475838,14.0161602498023
50,124.341237257705,49.9999999999998,71.8087688424615,72.1831326657713,14.2663002980835
51,127.326492637414,50.9999999999995,73.3391125615565,73.7221864976121,14.5152826611427
